,ServiceTag,UUID,SerialNumber,HostName,Model,Manufacturer,ProcessorModel,ProcessorCount,LogicalProcessorCount,TotalSystemMemoryGiB,NIC_1_PermanentMACAddress,NIC_2_PermanentMACAddress,Bmc_Ip_Addr,BmcModel,BmcFirmwareVersion,Status
0,2L8YHK2,4c4c4544-004b-5410-8054-b2c04f484b32,CN7475175G0154,compute-1-1,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:C2:BC,7C:D3:0A:D7:C2:BE,10.101.1.1,13G DCS,2.75.75.75,OK
1,2L8YHK2,4c4c4544-004b-5410-8052-b2c04f484b32,CN7475175G0065,cpu-1-2,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BC:DA,7C:D3:0A:D7:BC:DC,10.101.1.2,13G DCS,2.75.75.75,OK
2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.101.1.3,13G DCS,2.75.75.75,N/A
3,2L8YHK2,4c4c4544-004b-5410-8053-b2c04f484b32,CN7475175G0042,cpu-1-4,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:C1:00,7C:D3:0A:D7:C1:02,10.101.1.4,13G DCS,2.75.75.75,OK
4,2L9YHK2,4c4c4544-004b-5910-8030-b2c04f4a4b32,CN7475175G0470,cpu-1-5,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BB:C6,7C:D3:0A:D7:BB:C8,10.101.1.5,13G DCS,2.75.75.75,OK
5,2L9YHK2,4c4c4544-004b-5810-8059-b2c04f484b32,CN7475169N0174,cpu-1-6,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:C6:2F:22,7C:D3:0A:C6:2F:24,10.101.1.6,13G DCS,2.75.75.75,OK
6,2L9YHK2,4c4c4544-004b-5910-8031-b2c04f4a4b32,CN7475175G0140,cpu-1-7,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:C3:52,7C:D3:0A:D7:C3:54,10.101.1.7,13G DCS,2.75.75.75,OK
7,2L9YHK2,4c4c4544-004b-5810-805a-b2c04f484b32,CN7475172K0143,cpu-1-8,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D0:E1:A0,7C:D3:0A:D0:E1:A2,10.101.1.8,13G DCS,2.75.75.75,OK
8,2N6VHK2,4c4c4544-004d-5610-8059-b2c04f484b32,CN7475175G0566,cpu-1-9,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:C1:72,7C:D3:0A:D7:C1:74,10.101.1.9,13G DCS,2.75.75.75,OK
9,2N6VHK2,4c4c4544-004d-5610-8057-b2c04f484b32,CN7475175J0159,cpu-1-10,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:E1:D0,7C:D3:0A:D7:E1:D2,10.101.1.10,13G DCS,2.75.75.75,OK
10,2N6VHK2,4c4c4544-004d-5610-805a-b2c04f484b32,CN7475175I0055,cpu-1-11,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:C6:C4,7C:D3:0A:D7:C6:C6,10.101.1.11,13G DCS,2.75.75.75,OK
11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.101.1.12,N/A,N/A,BMC Unreachable
12,2N6WHK2,4c4c4544-004d-5710-8052-b2c04f484b32,CN7475175G0003,cpu-1-13,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BF:86,7C:D3:0A:D7:BF:88,10.101.1.13,13G DCS,2.75.75.75,OK
13,2N6WHK2,4c4c4544-004d-5710-8030-b2c04f4a4b32,CN7475172H0379,cpu-1-14,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D0:D1:38,7C:D3:0A:D0:D1:3A,10.101.1.14,13G DCS,2.75.75.75,OK
14,2N6WHK2,4c4c4544-004d-5710-8053-b2c04f484b32,CN7475172I0128,cpu-1-15,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D0:DA:20,7C:D3:0A:D0:DA:22,10.101.1.15,13G DCS,2.75.75.75,OK
15,2N6WHK2,4c4c4544-004d-5710-8031-b2c04f4a4b32,CN7475172I0027,cpu-1-16,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D0:DB:3A,7C:D3:0A:D0:DB:3C,10.101.1.16,13G DCS,2.75.75.75,OK
16,2L81JK2,4c4c4544-004b-5210-8030-b2c04f4a4b32,CNIVC007750033,cpu-1-17,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:DC:8D:4C,7C:D3:0A:DC:8D:4E,10.101.1.17,13G DCS,2.75.75.75,OK
17,2L81JK2,4c4c4544-004b-5110-8059-b2c04f484b32,CN747516CD0112,cpu-1-18,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:CD:5B:A6,7C:D3:0A:CD:5B:A8,10.101.1.18,13G DCS,2.75.75.75,OK
18,2L81JK2,4c4c4544-004b-5210-8031-b2c04f4a4b32,CN7475175G0126,cpu-1-19,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BF:20,7C:D3:0A:D7:BF:22,10.101.1.19,13G DCS,2.75.75.75,OK
19,2L81JK2,4c4c4544-004b-5110-805a-b2c04f484b32,CN7475175G0194,cpu-1-20,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:C3:E2,7C:D3:0A:D7:C3:E4,10.101.1.20,13G DCS,2.75.75.75,OK
20,2L8THK2,4c4c4544-004b-5210-8059-b2c04f484b32,CN7475175I0703,cpu-1-21,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:D6:7E,N/A,10.101.1.21,N/A,N/A,OK
21,2L8THK2,4c4c4544-004b-5210-8057-b2c04f484b32,CN7475175G0059,cpu-1-22,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:C0:CA,7C:D3:0A:D7:C0:CC,10.101.1.22,13G DCS,2.75.75.75,OK
22,2L8THK2,4c4c4544-004b-5210-805a-b2c04f484b32,CN7475175I0672,cpu-1-23,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:CE:6E,7C:D3:0A:D7:CE:70,10.101.1.23,13G DCS,2.75.75.75,OK
23,2L8THK2,4c4c4544-004b-5210-8058-b2c04f484b32,CN7475175I0466,cpu-1-24,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:D4:2C,7C:D3:0A:D7:D4:2E,10.101.1.24,13G DCS,2.75.75.75,OK
24,2MN1JK2,4c4c4544-004d-3410-8054-b2c04f484b32,CN7475172K0220,cpu-1-25,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D0:E3:CE,7C:D3:0A:D0:E3:D0,10.101.1.25,13G DCS,2.75.75.75,OK
25,,4c4c4544-004d-3410-8031-b2c04f4a4b32,CNIVC007BR0514,cpu-1-26,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:EC:B4:8A,7C:D3:0A:EC:B4:8C,10.101.1.26,13G DCS,2.75.75.75,OK
26,2MN1JK2,4c4c4544-004d-3410-8056-b2c04f484b32,CN7475175I0836,cpu-1-27,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:DA:CE,7C:D3:0A:D7:DA:D0,10.101.1.27,13G DCS,2.75.75.75,OK
27,2MN1JK2,4c4c4544-004d-3410-8053-b2c04f484b32,CN7475175I0240,cpu-1-28,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:C8:9E,7C:D3:0A:D7:C8:A0,10.101.1.28,13G DCS,2.75.75.75,OK
28,2L80JK2,4c4c4544-004b-5110-8057-b2c04f484b32,CN7475175G0358,cpu-1-29,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:B9:8C,7C:D3:0A:D7:B9:8E,10.101.1.29,13G DCS,2.75.75.75,OK
29,2L80JK2,4c4c4544-004b-5110-8054-b2c04f484b32,CN7475175G0469,cpu-1-30,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BA:AC,7C:D3:0A:D7:BA:AE,10.101.1.30,13G DCS,2.75.75.75,OK
30,2L80JK2,4c4c4544-004b-5110-8058-b2c04f484b32,CN7475175G0179,cpu-1-31,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BA:64,7C:D3:0A:D7:BA:66,10.101.1.31,13G DCS,2.75.75.75,OK
31,2L80JK2,4c4c4544-004b-5110-8056-b2c04f484b32,CN7475175G0313,cpu-1-32,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:B8:60,7C:D3:0A:D7:B8:62,10.101.1.32,13G DCS,2.75.75.75,OK
32,2MMWHK2,4c4c4544-004d-3210-8031-b2c04f4a4b32,CN7475175I0530,cpu-1-33,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:CF:F4,7C:D3:0A:D7:CF:F6,10.101.1.33,13G DCS,2.75.75.75,OK
33,2MMWHK2,4c4c4544-004d-3110-805a-b2c04f484b32,CN7475175J0137,cpu-1-34,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:E1:70,7C:D3:0A:D7:E1:72,10.101.1.34,13G DCS,2.75.75.75,OK
34,2MMWHK2,4c4c4544-004d-3210-8053-b2c04f484b32,CN7475175I0277,cpu-1-35,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:CD:4E,7C:D3:0A:D7:CD:50,10.101.1.35,13G DCS,2.75.75.75,OK
35,2MMWHK2,4c4c4544-004d-3210-8030-b2c04f4a4b32,CN7475175I0418,cpu-1-36,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:D1:32,7C:D3:0A:D7:D1:34,10.101.1.36,13G DCS,2.75.75.75,OK
36,2LSZHK2,4c4c4544-004c-4a10-8057-b2c04f484b32,CN7475175I0461,cpu-1-37,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:D2:6A,7C:D3:0A:D7:D2:6C,10.101.1.37,13G DCS,2.75.75.75,OK
37,2LSZHK2,4c4c4544-004c-4a10-8054-b2c04f484b32,CN7475175J0285,cpu-1-38,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:DF:D8,7C:D3:0A:D7:DF:DA,10.101.1.38,13G DCS,2.75.75.75,OK
38,2LSZHK2,4c4c4544-004c-4a10-8058-b2c04f484b32,CN7475175I0465,cpu-1-39,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:D4:4A,7C:D3:0A:D7:D4:4C,10.101.1.39,13G DCS,2.75.75.75,OK
39,2LSZHK2,4c4c4544-004c-4a10-8056-b2c04f484b32,CN7475175I0838,cpu-1-40,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:DA:E0,7C:D3:0A:D7:DA:E2,10.101.1.40,13G DCS,2.75.75.75,OK
40,2MNXHK2,4c4c4544-004d-3710-8030-b2c04f4a4b32,CN7475175I0485,cpu-1-41,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:D4:9E,7C:D3:0A:D7:D4:A0,10.101.1.41,13G DCS,2.75.75.75,OK
41,2MNXHK2,4c4c4544-004d-3610-8059-b2c04f484b32,CN7475175I0039,cpu-1-42,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:C4:FC,7C:D3:0A:D7:C4:FE,10.101.1.42,13G DCS,2.75.75.75,OK
42,2MNXHK2,4c4c4544-004d-3710-8031-b2c04f4a4b32,CN7475175I0400,cpu-1-43,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:D0:E4,7C:D3:0A:D7:D0:E6,10.101.1.43,13G DCS,2.75.75.75,OK
43,2MNXHK2,4c4c4544-004d-3610-805a-b2c04f484b32,CN7475175G0493,cpu-1-44,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BA:D6,7C:D3:0A:D7:BA:D8,10.101.1.44,13G DCS,2.75.75.75,OK
44,2L8VHK2,4c4c4544-004b-5310-8052-b2c04f484b32,CN7475175G0553,cpu-1-45,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BD:BE,7C:D3:0A:D7:BD:C0,10.101.1.45,13G DCS,2.75.75.75,OK
45,2L8VHK2,4c4c4544-004b-5310-8030-b2c04f4a4b32,CN7475175G0010,cpu-1-46,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BF:50,7C:D3:0A:D7:BF:52,10.101.1.46,13G DCS,2.75.75.75,OK
46,2L8VHK2,4c4c4544-004b-5310-8053-b2c04f484b32,CN7475175G0200,cpu-1-47,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:C3:A6,7C:D3:0A:D7:C3:A8,10.101.1.47,13G DCS,2.75.75.75,OK
47,2L8VHK2,4c4c4544-004b-5310-8031-b2c04f4a4b32,CN7475175G0157,cpu-1-48,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:C2:B0,7C:D3:0A:D7:C2:B2,10.101.1.48,13G DCS,2.75.75.75,OK
48,2MNVHK2,ffffffff-ffff-ffff-ffff-ffffffffffff,CN7475169N0193,cpu-1-49,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:C6:2F:58,7C:D3:0A:C6:2F:5A,10.101.1.49,13G DCS,2.75.75.75,OK
49,2MNVHK2,4c4c4544-004d-3510-805a-b2c04f484b32,CN7475175J0174,cpu-1-50,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:DE:8E,7C:D3:0A:D7:DE:90,10.101.1.50,13G DCS,2.75.75.75,OK
50,2MNVHK2,4c4c4544-004d-3610-8053-b2c04f484b32,CN7475175I0245,cpu-1-51,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:CB:3E,7C:D3:0A:D7:CB:40,10.101.1.51,13G DCS,2.75.75.75,OK
51,2MNVHK2,4c4c4544-004d-3610-8030-b2c04f4a4b32,CN7475172K0059,cpu-1-52,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D0:DE:D6,7C:D3:0A:D0:DE:D8,10.101.1.52,13G DCS,2.75.75.75,OK
52,2LSVHK2,4c4c4544-004c-4810-8030-b2c04f4a4b32,CN7475175J0303,cpu-1-53,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:E0:62,7C:D3:0A:D7:E0:64,10.101.1.53,13G DCS,2.75.75.75,OK
53,2LSVHK2,4c4c4544-004c-4710-8059-b2c04f484b32,CN7475175I0456,cpu-1-54,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:D4:08,7C:D3:0A:D7:D4:0A,10.101.1.54,13G DCS,2.75.75.75,OK
54,2LSVHK2,4c4c4544-004c-4810-8031-b2c04f4a4b32,CN7475175J0301,cpu-1-55,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:E0:5C,7C:D3:0A:D7:E0:5E,10.101.1.55,13G DCS,2.75.75.75,OK
55,2LSVHK2,4c4c4544-004c-4710-805a-b2c04f484b32,CN7475175I0504,cpu-1-56,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:D4:98,7C:D3:0A:D7:D4:9A,10.101.1.56,13G DCS,2.75.75.75,OK
56,2L8XHK2,4c4c4544-004b-5410-8030-b2c04f4a4b32,CN7475172N0087,cpu-1-57,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D2:68:0C,7C:D3:0A:D2:68:0E,10.101.1.57,13G DCS,2.75.75.75,OK
57,2L8XHK2,4c4c4544-004b-5310-8059-b2c04f484b32,CN7475175G0495,cpu-1-58,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BB:BA,7C:D3:0A:D7:BB:BC,10.101.1.58,13G DCS,2.75.75.75,OK
58,2L8XHK2,4c4c4544-004b-5410-8031-b2c04f4a4b32,CN7475172K0319,cpu-1-59,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D0:E0:CE,7C:D3:0A:D0:E0:D0,10.101.1.59,13G DCS,2.75.75.75,OK
59,2L8XHK2,4c4c4544-004b-5310-805a-b2c04f484b32,CN7475175G0414,cpu-1-60,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BB:60,7C:D3:0A:D7:BB:62,10.101.1.60,13G DCS,2.75.75.75,OK
60,2LB1JK2,4c4c4544-004b-5a10-8052-b2c04f484b32,CN7475175G0552,cpu-2-1,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BD:76,7C:D3:0A:D7:BD:78,10.101.2.1,13G DCS,2.75.75.75,OK
61,2LB1JK2,4c4c4544-004b-5a10-8030-b2c04f4a4b32,CN7475175G0068,cpu-2-2,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BE:06,7C:D3:0A:D7:BE:08,10.101.2.2,13G DCS,2.75.75.75,OK
62,2LB1JK2,4c4c4544-004b-5a10-8053-b2c04f484b32,CN7475175G0483,cpu-2-3,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BD:22,7C:D3:0A:D7:BD:24,10.101.2.3,13G DCS,2.75.75.75,OK
63,2LB1JK2,4c4c4544-004b-5a10-8031-b2c04f4a4b32,CN7475175G0111,cpu-2-4,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BE:24,7C:D3:0A:D7:BE:26,10.101.2.4,13G DCS,2.75.75.75,OK
64,2MMRHK2,4c4c4544-004d-3010-8056-b2c04f484b32,CN7475175J0313,cpu-2-5,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:E0:50,7C:D3:0A:D7:E0:52,10.101.2.5,13G DCS,2.75.75.75,OK
65,2MMRHK2,4c4c4544-004d-3010-8053-b2c04f484b32,CN7475175G0541,cpu-2-6,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BF:EC,7C:D3:0A:D7:BF:EE,10.101.2.6,13G DCS,2.75.75.75,OK
66,2MMRHK2,4c4c4544-004d-3010-8057-b2c04f484b32,CN7475175G0138,cpu-2-7,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:C3:6A,7C:D3:0A:D7:C3:6C,10.101.2.7,13G DCS,2.75.75.75,Critical
67,2MMRHK2,4c4c4544-004d-3010-8054-b2c04f484b32,CN7475175I0934,cpu-2-8,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:D7:A4,7C:D3:0A:D7:D7:A6,10.101.2.8,13G DCS,2.75.75.75,OK
68,2MMTHK2,4c4c4544-004d-3110-8053-b2c04f484b32,CN7475175I0417,cpu-2-9,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:D1:38,7C:D3:0A:D7:D1:3A,10.101.2.9,13G DCS,2.75.75.75,OK
69,2MMTHK2,4c4c4544-004d-3110-8031-b2c04f4a4b32,CN747516CV0075,cpu-2-10,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:CD:D6:D6,7C:D3:0A:CD:D6:D8,10.101.2.10,13G DCS,2.75.75.75,OK
70,2MMTHK2,4c4c4544-004d-3110-8054-b2c04f484b32,CN7475175I0322,cpu-2-11,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:CA:54,7C:D3:0A:D7:CA:56,10.101.2.11,13G DCS,2.75.75.75,OK
71,2MMTHK2,4c4c4544-004d-3110-8032-b2c04f4a4b32,CN7475172A0251,cpu-2-12,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D0:B5:8A,7C:D3:0A:D0:B5:8C,10.101.2.12,13G DCS,2.75.75.75,OK
72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.101.2.13,N/A,N/A,BMC Unreachable
73,2L8ZHK2,4c4c4544-004b-5410-8057-b2c04f484b32,CN7475175G0119,cpu-2-14,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BF:4A,7C:D3:0A:D7:BF:4C,10.101.2.14,13G DCS,2.75.75.75,OK
74,2L8ZHK2,4c4c4544-004b-5410-805a-b2c04f484b32,CN7475175G0303,cpu-2-15,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:B8:AE,7C:D3:0A:D7:B8:B0,10.101.2.15,13G DCS,2.75.75.75,OK
75,2L8ZHK2,4c4c4544-004b-5410-8058-b2c04f484b32,CN7475172H0326,cpu-2-16,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D0:D1:0E,7C:D3:0A:D0:D1:10,10.101.2.16,13G DCS,2.75.75.75,OK
76,2MNZHK2,4c4c4544-004d-3710-805a-b2c04f484b32,CN7475175G0139,cpu-2-17,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BE:A8,7C:D3:0A:D7:BE:AA,10.101.2.17,13G DCS,2.75.75.75,OK
77,2MNZHK2,4c4c4544-004d-3710-8058-b2c04f484b32,CN7475175G0127,cpu-2-18,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:BF:26,7C:D3:0A:D7:BF:28,10.101.2.18,13G DCS,2.75.75.75,OK
78,2MNZHK2,4c4c4544-004d-3810-8030-b2c04f4a4b32,CN7475175G0498,cpu-2-19,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:B9:CE,7C:D3:0A:D7:B9:D0,10.101.2.19,13G DCS,2.75.75.75,OK
79,2MNZHK2,4c4c4544-004d-3710-8059-b2c04f484b32,CN7475175G0349,cpu-2-20,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:B9:E6,7C:D3:0A:D7:B9:E8,10.101.2.20,13G DCS,2.75.75.75,OK
80,2N6THK2,4c4c4544-004d-5610-8054-b2c04f484b32,CN7475175J0162,cpu-2-21,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:D7:E1:C4,7C:D3:0A:D7:E1:C6,10.101.2.21,13G DCS,2.75.75.75,OK
