value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
CPU.Socket.1_CPUC0ResidencyHigh,CPU.Socket.1_CPUC0ResidencyLow,CPU.Socket.1_CUPSIIOBandwidthDMI,CPU.Socket.1_CUPSIIOBandwidthPort0,CPU.Socket.1_CUPSIIOBandwidthPort1,CPU.Socket.1_CUPSIIOBandwidthPort2,CPU.Socket.1_CUPSIIOBandwidthPort3,CPU.Socket.1_NonC0ResidencyHigh,CPU.Socket.1_NonC0ResidencyLow,CPU.Socket.2_CPUC0ResidencyHigh,CPU.Socket.2_CPUC0ResidencyLow,CPU.Socket.2_CUPSIIOBandwidthDMI,CPU.Socket.2_CUPSIIOBandwidthPort0,CPU.Socket.2_CUPSIIOBandwidthPort1,CPU.Socket.2_CUPSIIOBandwidthPort2,CPU.Socket.2_CUPSIIOBandwidthPort3,CPU.Socket.2_NonC0ResidencyHigh,CPU.Socket.2_NonC0ResidencyLow,CPU1_Temp_Reading,CPU1_Temp_TemperatureReading,CPU2_Temp_Reading,CPU2_Temp_TemperatureReading,CUPS_CPUUsage,CUPS_IOUsage,CUPS_MemoryUsage,CUPS_SystemUsage,DIMM_Socket_A1_TemperatureReading,DIMM_Socket_A2_TemperatureReading,DIMM_Socket_A3_TemperatureReading,DIMM_Socket_A4_TemperatureReading,DIMM_Socket_A5_TemperatureReading,DIMM_Socket_A6_TemperatureReading,DIMM_Socket_A7_TemperatureReading,DIMM_Socket_A8_TemperatureReading,DIMM_Socket_B1_TemperatureReading,DIMM_Socket_B2_TemperatureReading,DIMM_Socket_B3_TemperatureReading,DIMM_Socket_B4_TemperatureReading,DIMM_Socket_B5_TemperatureReading,DIMM_Socket_B6_TemperatureReading,DIMM_Socket_B7_TemperatureReading,DIMM_Socket_B8_TemperatureReading,Embedded_NIC_1_Port_1_Partition_1_TemperatureReading,FAN1A_Reading,FAN1B_Reading,FAN2A_Reading,FAN2B_Reading,FAN3A_Reading,FAN3B_Reading,FAN4A_Reading,FAN4B_Reading,Fan_1A_RPMReading,Fan_1B_RPMReading,Fan_2A_RPMReading,Fan_2B_RPMReading,Fan_3A_RPMReading,Fan_3B_RPMReading,Fan_4A_RPMReading,Fan_4B_RPMReading,Inlet_Temp_Reading,Inlet_Temp_TemperatureReading,Integrated_NIC_1_Port_1_Partition_1_TemperatureReading,NIC.Embedded.1-1-1_DiscardedPkts,PS1_Current_Reading,PS1_Voltage_Reading,PS2_Current_Reading,PS2_Voltage_Reading,PowerMetrics_SystemHeadRoomInstantaneous,PowerMetrics_SystemInputPower,PowerMetrics_SystemOutputPower,PowerMetrics_SystemPowerConsumption,PowerMetrics_TotalCPUPower,PowerMetrics_TotalFanPower,PowerMetrics_TotalMemoryPower,PowerMetrics_TotalPciePower,PowerMetrics_TotalStoragePower,PowerStatistics_LastDayAvgPower,PowerStatistics_LastDayMaxPower,System_Board_CPU_Usage_Reading,System_Board_Pwr_Consumption_Reading,Thermal_ComputePower,Thermal_ITUE,Thermal_PSUEfficiency,Thermal_PowerToCoolRatio,Thermal_SysAirFlowEfficiency,Thermal_SysAirflowPerFanPower,Thermal_SysAirflowPerSysInputPower,Thermal_SysAirflowUtilization,Thermal_SysNetAirflow,Thermal_SysRackTempDelta,Thermal_TotalPSUHeatDissipation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5848.0,4730.0,5848.0,4730.0,5848.0,4730.0,5934.0,4816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,32.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,5848.0,4730.0,5848.0,4730.0,5848.0,4730.0,5934.0,4816.0,,,,,,,,,19.0,,,,2.8,206.0,2.8,206.0,,,,,,,,,,,,0.0,308.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5848.0,4730.0,5848.0,4730.0,5848.0,4730.0,5934.0,4816.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.0,,34.0,,,,,37.0,39.0,37.0,39.0,38.0,36.0,38.0,34.0,27.0,29.0,28.0,28.0,28.0,27.0,28.0,27.0,46.0,,,,,,,,,,,,,,,,,,19.0,56.0,,,,,,378.0,264.0,264.0,311.0,336.0,0.0,266.0,0.0,0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,32.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,5848.0,4730.0,5848.0,4730.0,5848.0,4730.0,5934.0,4816.0,,,,,,,,,19.0,,,,2.8,206.0,2.8,206.0,,,,,,,,,,,,0.0,308.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5848.0,4730.0,5848.0,4730.0,5848.0,4730.0,5934.0,4816.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.0,,34.0,,,,,37.0,39.0,37.0,39.0,38.0,36.0,38.0,34.0,27.0,29.0,28.0,28.0,28.0,27.0,28.0,27.0,46.0,,,,,,,,,,,,,,,,,,19.0,56.0,,,,,,378.0,263.0,263.0,311.0,336.0,0.0,264.0,0.0,0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,32.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,5848.0,4730.0,5848.0,4730.0,5848.0,4730.0,5934.0,4816.0,,,,,,,,,19.0,,,,2.8,206.0,2.8,206.0,,,,,,,,,,,,0.0,308.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5848.0,4730.0,5848.0,4730.0,5848.0,4730.0,5934.0,4816.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.0,,34.0,,,,,37.0,39.0,37.0,39.0,38.0,36.0,38.0,34.0,27.0,29.0,28.0,28.0,28.0,27.0,28.0,27.0,46.0,,,,,,,,,,,,,,,,,,19.0,56.0,,,,,,377.0,265.0,265.0,312.0,336.0,0.0,264.0,0.0,0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,32.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,5848.0,4730.0,5848.0,4730.0,5848.0,4730.0,5934.0,4816.0,,,,,,,,,19.0,,,,2.8,206.0,2.8,206.0,,,,,,,,,,,,0.0,308.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5848.0,4730.0,5934.0,4730.0,5848.0,4730.0,5934.0,4816.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.0,,34.0,,,,,37.0,39.0,37.0,39.0,38.0,36.0,38.0,34.0,27.0,29.0,28.0,28.0,28.0,27.0,28.0,27.0,46.0,,,,,,,,,,,,,,,,,,19.0,56.0,,,,,,378.0,265.0,265.0,311.0,336.0,0.0,264.0,0.0,0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,32.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,5848.0,4730.0,5934.0,4730.0,5848.0,4730.0,5934.0,4816.0,,,,,,,,,19.0,,,,2.8,208.0,2.8,206.0,,,,,,,,,,,,0.0,308.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5848.0,4730.0,5934.0,4730.0,5848.0,4730.0,5934.0,4816.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.0,,34.0,,,,,37.0,39.0,37.0,39.0,38.0,36.0,38.0,34.0,27.0,29.0,28.0,28.0,28.0,27.0,28.0,27.0,46.0,,,,,,,,,,,,,,,,,,19.0,56.0,,,,,,378.0,264.0,264.0,311.0,336.0,0.0,264.0,0.0,0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,32.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,5848.0,4730.0,5934.0,4730.0,5848.0,4730.0,5934.0,4816.0,,,,,,,,,19.0,,,,2.8,208.0,2.8,206.0,,,,,,,,,,,,0.0,308.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.0,,34.0,,,,,37.0,39.0,37.0,39.0,38.0,36.0,38.0,34.0,27.0,29.0,28.0,28.0,28.0,27.0,28.0,27.0,46.0,,,,,,,,,,,,,,,,,,19.0,56.0,,,,,,380.0,264.0,264.0,309.0,336.0,0.0,264.0,0.0,0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,32.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,5848.0,4730.0,5934.0,4730.0,5848.0,4730.0,5934.0,4816.0,,,,,,,,,19.0,,,,2.8,208.0,2.8,206.0,,,,,,,,,,,,0.0,308.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.0,,34.0,,,,,37.0,39.0,37.0,39.0,38.0,36.0,38.0,34.0,27.0,29.0,28.0,28.0,28.0,27.0,28.0,27.0,46.0,,,,,,,,,,,,,,,,,,19.0,56.0,,,,,,378.0,264.0,264.0,311.0,336.0,0.0,262.0,0.0,0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,32.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,5848.0,4730.0,5934.0,4730.0,5848.0,4730.0,5934.0,4816.0,,,,,,,,,19.0,,,,2.8,208.0,2.8,206.0,,,,,,,,,,,,0.0,308.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.0,,34.0,,,,,37.0,39.0,37.0,39.0,38.0,36.0,38.0,34.0,27.0,29.0,28.0,28.0,28.0,27.0,28.0,27.0,46.0,,,,,,,,,,,,,,,,,,19.0,56.0,,,,,,378.0,264.0,264.0,311.0,336.0,0.0,262.0,0.0,0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,32.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,5848.0,4730.0,5934.0,4730.0,5848.0,4730.0,5934.0,4816.0,,,,,,,,,19.0,,,,2.8,208.0,2.8,206.0,,,,,,,,,,,,0.0,308.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.0,,34.0,,,,,37.0,39.0,37.0,39.0,38.0,36.0,38.0,34.0,27.0,29.0,28.0,28.0,28.0,27.0,28.0,27.0,46.0,,,,,,,,,,,,,,,,,,19.0,56.0,,,,,,377.0,263.0,263.0,312.0,336.0,0.0,264.0,0.0,0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,32.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,5848.0,4730.0,5848.0,4730.0,5676.0,4730.0,5676.0,4730.0,,,,,,,,,19.0,,,,2.8,206.0,2.8,206.0,,,,,,,,,,,,0.0,308.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.0,,34.0,,,,,37.0,39.0,37.0,39.0,38.0,36.0,38.0,34.0,27.0,29.0,28.0,28.0,28.0,27.0,28.0,27.0,46.0,,,,,,,,,,,,,,,,,,19.0,56.0,,,,,,378.0,264.0,264.0,311.0,336.0,0.0,262.0,0.0,0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,32.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,5848.0,4730.0,5848.0,4730.0,5676.0,4730.0,5676.0,4730.0,,,,,,,,,19.0,,,,2.8,206.0,2.8,206.0,,,,,,,,,,,,0.0,308.0,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,19.0,56.0,,,,,,378.0,264.0,264.0,311.0,336.0,0.0,264.0,0.0,0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,32.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,5848.0,4730.0,5848.0,4730.0,5676.0,4730.0,5676.0,4730.0,,,,,,,,,19.0,,,,2.8,206.0,2.8,206.0,,,,,,,,,,,,0.0,308.0,,,,,,,,,,,
